Timestamp,Emotion,Probabilities
2025-09-04 13:49:10.102153,Sad,"[0.19848451018333435, 0.022354725748300552, 0.18523234128952026, 0.11911211907863617, 0.2996343672275543, 0.02648627571761608, 0.14869563281536102]"
2025-09-04 13:49:10.247575,Sad,"[0.22050146758556366, 0.024719486013054848, 0.15317316353321075, 0.14563751220703125, 0.31259551644325256, 0.01420724019408226, 0.12916560471057892]"
2025-09-04 13:49:10.289352,Sad,"[0.15522073209285736, 0.015744999051094055, 0.17460927367210388, 0.08665556460618973, 0.25505203008651733, 0.05857498198747635, 0.2541424036026001]"
2025-09-04 13:49:10.329911,Sad,"[0.2005065232515335, 0.024181226268410683, 0.1598655730485916, 0.2092820256948471, 0.249232217669487, 0.032765258103609085, 0.12416724860668182]"
2025-09-04 13:49:10.370987,Neutral,"[0.15438193082809448, 0.0168769508600235, 0.16604740917682648, 0.13491126894950867, 0.2092783898115158, 0.0980827733874321, 0.22042125463485718]"
2025-09-04 13:49:10.517548,Sad,"[0.2041517198085785, 0.02129032276570797, 0.14276662468910217, 0.052757926285266876, 0.5029836893081665, 0.0008209729567170143, 0.07522869855165482]"
2025-09-04 13:49:10.556437,Sad,"[0.17102821171283722, 0.019620349630713463, 0.15681245923042297, 0.1745171695947647, 0.2427905648946762, 0.046229999512434006, 0.18900121748447418]"
2025-09-04 13:49:10.598053,Sad,"[0.1598365604877472, 0.01724151521921158, 0.1717282086610794, 0.12233757972717285, 0.22837309539318085, 0.07875686883926392, 0.2217261642217636]"
2025-09-04 13:49:10.750153,Sad,"[0.22920538485050201, 0.025921039283275604, 0.15322519838809967, 0.13087788224220276, 0.3458835780620575, 0.007949523627758026, 0.10693740844726562]"
2025-09-04 13:49:10.792216,Sad,"[0.1634746938943863, 0.018932582810521126, 0.269378125667572, 0.023576680570840836, 0.46001121401786804, 0.002786540426313877, 0.06184017285704613]"
2025-09-04 13:49:10.833841,Sad,"[0.16335128247737885, 0.017447350546717644, 0.16835437715053558, 0.12483837455511093, 0.2420819103717804, 0.06192341446876526, 0.2220032513141632]"
2025-09-04 13:49:10.875698,Sad,"[0.20407235622406006, 0.02216811664402485, 0.1571170687675476, 0.12637576460838318, 0.33649662137031555, 0.011419872753322124, 0.14235012233257294]"
2025-09-04 13:49:11.007104,Sad,"[0.21912574768066406, 0.024289840832352638, 0.1518457680940628, 0.1418069750070572, 0.3141121566295624, 0.014211483299732208, 0.13460807502269745]"
2025-09-04 13:49:11.049418,Sad,"[0.17053435742855072, 0.018070656806230545, 0.20728416740894318, 0.069586381316185, 0.3491557538509369, 0.017309313639998436, 0.16805939376354218]"
2025-09-04 13:49:11.089807,Sad,"[0.17442849278450012, 0.01771107129752636, 0.14995428919792175, 0.11101890355348587, 0.353903204202652, 0.00932602770626545, 0.18365800380706787]"
2025-09-04 13:49:11.131749,Happy,"[0.14423608779907227, 0.016503142192959785, 0.14609076082706451, 0.2276388704776764, 0.20391710102558136, 0.06148381903767586, 0.20013026893138885]"
2025-09-04 13:49:11.171766,Sad,"[0.1715802699327469, 0.018972963094711304, 0.16060476005077362, 0.1634533405303955, 0.2462688386440277, 0.047562722116708755, 0.19155706465244293]"
2025-09-04 13:49:11.211285,Sad,"[0.1799907088279724, 0.020079148933291435, 0.1384115070104599, 0.18550756573677063, 0.2656935453414917, 0.025501761585474014, 0.18481582403182983]"
2025-09-04 13:49:11.347305,Sad,"[0.2091139703989029, 0.02306612953543663, 0.1491808146238327, 0.15951411426067352, 0.2893823981285095, 0.01963549479842186, 0.1501070261001587]"
2025-09-04 13:49:11.388525,Sad,"[0.17220619320869446, 0.017609845846891403, 0.15980978310108185, 0.10634973645210266, 0.3367080092430115, 0.013678881339728832, 0.19363756477832794]"
2025-09-04 13:49:11.431932,Sad,"[0.18546119332313538, 0.020914621651172638, 0.1612873524427414, 0.15404701232910156, 0.28037387132644653, 0.02741064690053463, 0.17050530016422272]"
2025-09-04 13:49:11.474967,Sad,"[0.15864738821983337, 0.017969531938433647, 0.17266687750816345, 0.17079328000545502, 0.2481427937746048, 0.047568429261446, 0.18421168625354767]"
2025-09-04 13:49:11.605140,Sad,"[0.20774979889392853, 0.022387700155377388, 0.15264499187469482, 0.12977252900600433, 0.3224645256996155, 0.013864622451364994, 0.15111586451530457]"
2025-09-04 13:49:11.674640,Sad,"[0.15836665034294128, 0.016533344984054565, 0.16985474526882172, 0.10857561975717545, 0.24393495917320251, 0.06364741921424866, 0.23908731341362]"
2025-09-04 13:49:11.719484,Sad,"[0.18550929427146912, 0.01937638595700264, 0.15278847515583038, 0.11511076986789703, 0.3606525957584381, 0.008202662691473961, 0.1583598405122757]"
2025-09-04 13:49:11.760988,Sad,"[0.16326110064983368, 0.01879889890551567, 0.16552242636680603, 0.1931019127368927, 0.24151550233364105, 0.04614892229437828, 0.17165125906467438]"
2025-09-04 13:49:11.801023,Surprise,"[0.06809430569410324, 0.006941524334251881, 0.2630830407142639, 0.05141158029437065, 0.09078525006771088, 0.3434489071369171, 0.17623543739318848]"
2025-09-04 13:49:11.840998,Sad,"[0.20071178674697876, 0.02211763709783554, 0.1661175638437271, 0.13329020142555237, 0.29011523723602295, 0.026365837082266808, 0.1612817943096161]"
2025-09-04 13:49:11.975703,Sad,"[0.2141362577676773, 0.02371157705783844, 0.15157431364059448, 0.14927354454994202, 0.29831185936927795, 0.018398556858301163, 0.1445939540863037]"
2025-09-04 13:49:12.016682,Sad,"[0.16809439659118652, 0.017247376963496208, 0.1573735475540161, 0.11630615592002869, 0.2647262513637543, 0.04128609970211983, 0.2349662184715271]"
2025-09-04 13:49:12.057749,Neutral,"[0.1533115804195404, 0.017126282677054405, 0.15633247792720795, 0.15844251215457916, 0.19074706733226776, 0.11523954570293427, 0.2088005542755127]"
2025-09-04 13:49:12.098663,Sad,"[0.1671954095363617, 0.017510266974568367, 0.18204228579998016, 0.0961393490433693, 0.2781620919704437, 0.042227741330862045, 0.21672281622886658]"
2025-09-04 13:49:12.141036,Surprise,"[0.07262276113033295, 0.007079907692968845, 0.2525806725025177, 0.04221754148602486, 0.0913468450307846, 0.3469422459602356, 0.18721002340316772]"
2025-09-04 13:49:12.285308,Sad,"[0.20639123022556305, 0.02256520837545395, 0.15046578645706177, 0.14994527399539948, 0.29056021571159363, 0.021408863365650177, 0.15866342186927795]"
2025-09-04 13:49:12.324560,Sad,"[0.18377384543418884, 0.018856128677725792, 0.14948613941669464, 0.11298887431621552, 0.35164615511894226, 0.00948331505060196, 0.17376552522182465]"
2025-09-04 13:49:12.367384,Surprise,"[0.07515637576580048, 0.007658063899725676, 0.2801723778247833, 0.04739270359277725, 0.10505140572786331, 0.3036755919456482, 0.1808934360742569]"
2025-09-04 13:49:12.410051,Neutral,"[0.1559581607580185, 0.016141103580594063, 0.17284917831420898, 0.0984698161482811, 0.24287687242031097, 0.06773315370082855, 0.2459716945886612]"
2025-09-04 13:49:12.544179,Sad,"[0.22246654331684113, 0.024932315573096275, 0.15323568880558014, 0.14044588804244995, 0.32317104935646057, 0.011967048980295658, 0.12378137558698654]"
2025-09-04 13:49:12.584881,Sad,"[0.16597622632980347, 0.017506740987300873, 0.178727924823761, 0.1047263815999031, 0.26827770471572876, 0.04684677720069885, 0.21793822944164276]"
2025-09-04 13:49:12.624896,Sad,"[0.17109723389148712, 0.01697610691189766, 0.1889561414718628, 0.057064738124608994, 0.28953614830970764, 0.04214397072792053, 0.23422569036483765]"
2025-09-04 13:49:12.667826,Sad,"[0.15701670944690704, 0.01688118278980255, 0.1416371911764145, 0.15910646319389343, 0.3120463192462921, 0.013220608234405518, 0.20009154081344604]"
2025-09-04 13:49:12.708469,Sad,"[0.16868047416210175, 0.017487820237874985, 0.1633189171552658, 0.10987995564937592, 0.24938538670539856, 0.056481700390577316, 0.2347656935453415]"
2025-09-04 13:49:12.748299,Surprise,"[0.0626162588596344, 0.005756129510700703, 0.22923874855041504, 0.04326069355010986, 0.07814572751522064, 0.35914313793182373, 0.22183935344219208]"
